Емельянов Максим Валерьевич;Апрелевка;пер. Парковый, д. 1;АНГК;Ихтиолог;+7 (834) 227-2677;juri12@gmail.com;1995-10-11;101221
Кудрявцев Михаил Жанович;Красновишерск;бул. Чернышевского, д. 23;Силовые машины;Каскадёр;+7 085 996 3129;arefi_1992@yandex.ru;1995-09-09;189936
Ирина Семеновна Кошелева;Стерлитамак;бул. Ветеранов, д. 796 к. 2;Россельхозбанк;Инженер-взрывотехник;8 266 835 82 94;karl1999@rambler.ru;1954-10-05;51468
Евдокимова Жанна Львовна;Шелагонцы;пер. Щетинкина, д. 6/1;ЛУКОЙЛ;Радиомеханик;8 348 618 73 40;gorbunovsavva@yahoo.com;1987-10-12;81839
Дарья Богдановна Баранова;Красноселькуп;алл. Лесхозная, д. 245 стр. 2/2;Сахалин Энерджи;Реставратор;8 (504) 672-8268;juri_2020@rambler.ru;1999-10-07;94387
Казаков Василий Фадеевич;Черусти;алл. Громова, д. 3/1;ТАИФ-НК;Парикмахер;+7 097 076 9621;varfolome03@rambler.ru;1988-01-28;171412
Ираклий Жоресович Филатов;Ангарск;бул. Сибирский, д. 40 к. 478;Металлстандарт;Дизайнер рекламы;8 (104) 484-6472;klimentgerasimov@hotmail.com;1958-06-03;145586
Крюков Иларион Харитонович;Сузун;бул. 8 Марта, д. 4 стр. 5;Системный оператор Единой энергетической системы;Моторист;+74375280262;pimenfokin@yahoo.com;1992-08-06;115736
Макар Евстигнеевич Емельянов;Калач;бул. Ленинский, д. 4/9 к. 598;Интер РАО;Маляр;+7 (480) 558-08-20;mefodivoronov@mail.ru;1986-11-17;89218
Лукия Кирилловна Сергеева;Шали;ул. Амурская, д. 9;Совкомфлот;Редактор;8 (644) 852-59-47;nestorpetuhov@hotmail.com;1985-09-19;183762
Мишин Мариан Игоревич;Бугульма;ш. Горное, д. 190;Объединенная авиастроительная корпорация;Операционист;8 (337) 863-7019;baranovvlas@yahoo.com;1979-02-17;32301
Прасковья Георгиевна Архипова;Калязин;алл. Ушакова, д. 7 стр. 856;Щекиноазот;Маммолог;8 513 668 7555;itrofimov@yandex.ru;1969-08-14;129333
Сысоев Аполлон Абрамович;Двинской;пер. Макарова, д. 506;Спортмастер;Спортивный врач;8 501 297 45 77;amvrosiisaev@gmail.com;1989-05-10;54355
Кудряшов Елизар Владиленович;Балашов;пер. Ленинградский, д. 602 стр. 56;ГСЛ;Авиатехник;+7 316 582 2496;romanovpotap@mail.ru;1966-12-17;199557
Артем Феофанович Сидоров;Сорочинск;пр. Украинский, д. 746 к. 56;Несте Санкт-Петербург (Neste);Медник;+7 466 224 39 11;ilja_1998@yahoo.com;1998-05-22;44260
Тарасова Анжела Антоновна;Каргополь;алл. Линейная, д. 4 к. 142;Группа Черкизово;Военный дознаватель;+7 865 727 76 57;prokofi_46@hotmail.com;1999-04-25;25201
Акулина Наумовна Петрова;Курильск;наб. Мирная, д. 8;ТК Шлюмберже (Schlumberger);Лоцман;8 (041) 955-8551;emeljanovanisim@rambler.ru;1958-02-22;159911
Марк Изотович Сысоев;Верхний Уфалей;алл. Локомотивная, д. 116;ГК Титан;Оператор ПК;+7 957 560 76 93;bronislavsolovev@rambler.ru;1989-12-21;178245
Феоктист Тихонович Бирюков;Ярославль;ул. Мичурина, д. 2;Металлоторг;Нефролог;8 558 831 40 69;loginovkarl@hotmail.com;1988-09-14;109289
Игнатьева Марфа Мироновна;Кетченеры;пер. Сельский, д. 4/3 к. 41;Ново-Уренгойская газовая компания;Гляциолог;8 451 250 18 42;gremislav1997@rambler.ru;1973-11-15;69659
Журавлев Харлампий Жанович;Диксон;алл. Почтовая, д. 625 к. 9;Фольксваген Груп Рус;Дворник;8 (810) 742-94-72;ivanna_15@mail.ru;1995-04-29;141159
Васильев Ким Гертрудович;Архыз;ул. Седова, д. 98 стр. 88;ГК Агропромкомплектация;Промышленный альпинист;+7 594 849 42 26;mihail_71@hotmail.com;1961-05-29;179747
Андроник Дмитриевич Савельев;Ельня;наб. Магистральная, д. 58;Промышленно-металлургический холдинг;Начальник штаба;8 (204) 680-13-78;qterentev@gmail.com;1980-05-20;36796
Гурьева Ксения Кузьминична;Междуреченский;ш. Больничное, д. 85 стр. 182;ВЭБ.РФ;Корректировщик;+79934046959;bazhen1989@hotmail.com;1988-02-04;125034
